O/F,P0 (BAR),P1 (BAR),T0 (K),M (1/n),GAMMA,CSTAR (M/SEC),ISP (M/SEC)
1.20000,15.000,8.6607,3008.71,22.418,1.1310,1663.2,1089.7
1.20000,15.000,8.6607,3008.71,22.418,1.1310,1663.2,1089.7
1.20000,16.000,9.2361,3013.70,22.429,1.1315,1663.9,1090.5
1.20000,16.000,9.2361,3013.70,22.429,1.1315,1663.9,1090.5
1.20000,17.000,9.8113,3018.36,22.439,1.1319,1664.5,1091.2
1.20000,17.000,9.8113,3018.36,22.439,1.1319,1664.5,1091.2
1.20000,18.000,10.386,3022.73,22.449,1.1324,1665.1,1091.9
1.20000,18.000,10.386,3022.73,22.449,1.1324,1665.1,1091.9
1.20000,19.000,10.962,3026.84,22.458,1.1328,1665.6,1092.5
1.20000,19.000,10.962,3026.84,22.458,1.1328,1665.6,1092.5
1.20000,20.000,11.536,3030.72,22.466,1.1332,1666.1,1093.1
1.20000,20.000,11.536,3030.72,22.466,1.1332,1666.1,1093.1
1.20000,21.000,12.111,3034.39,22.475,1.1336,1666.6,1093.7
1.20000,21.000,12.111,3034.39,22.475,1.1336,1666.6,1093.7
1.20000,22.000,12.686,3037.87,22.482,1.1339,1667.1,1094.3
1.20000,22.000,12.686,3037.87,22.482,1.1339,1667.1,1094.3
1.20000,23.000,13.261,3041.18,22.490,1.1343,1667.5,1094.8
1.20000,23.000,13.261,3041.18,22.490,1.1343,1667.5,1094.8
1.20000,24.000,13.835,3044.33,22.496,1.1346,1667.9,1095.3
1.20000,24.000,13.835,3044.33,22.496,1.1346,1667.9,1095.3
1.20000,25.000,14.410,3047.34,22.503,1.1349,1668.3,1095.8
1.20000,25.000,14.410,3047.34,22.503,1.1349,1668.3,1095.8
1.24000,15.000,8.6807,3038.50,22.663,1.1268,1665.1,1087.4
1.24000,15.000,8.6807,3038.50,22.663,1.1268,1665.1,1087.4
1.24000,16.000,9.2578,3043.97,22.676,1.1272,1665.9,1088.3
1.24000,16.000,9.2578,3043.97,22.676,1.1272,1665.9,1088.3
1.24000,17.000,9.8347,3049.09,22.687,1.1276,1666.7,1089.0
1.24000,17.000,9.8347,3049.09,22.687,1.1276,1666.7,1089.0
1.24000,18.000,10.411,3053.90,22.698,1.1280,1667.4,1089.7
1.24000,18.000,10.411,3053.90,22.698,1.1280,1667.4,1089.7
1.24000,19.000,10.988,3058.44,22.708,1.1283,1668.0,1090.4
1.24000,19.000,10.988,3058.44,22.708,1.1283,1668.0,1090.4
1.24000,20.000,11.565,3062.72,22.718,1.1287,1668.6,1091.0
1.24000,20.000,11.565,3062.72,22.718,1.1287,1668.6,1091.0
1.24000,21.000,12.141,3066.78,22.727,1.1290,1669.2,1091.6
1.24000,21.000,12.141,3066.78,22.727,1.1290,1669.2,1091.6
1.24000,22.000,12.718,3070.64,22.735,1.1293,1669.8,1092.2
1.24000,22.000,12.718,3070.64,22.735,1.1293,1669.8,1092.2
1.24000,23.000,13.294,3074.32,22.744,1.1296,1670.3,1092.8
1.24000,23.000,13.294,3074.32,22.744,1.1296,1670.3,1092.8
1.24000,24.000,13.870,3077.82,22.752,1.1299,1670.8,1093.3
1.24000,24.000,13.870,3077.82,22.752,1.1299,1670.8,1093.3
1.24000,25.000,14.446,3081.18,22.759,1.1302,1671.2,1093.8
1.24000,25.000,14.446,3081.18,22.759,1.1302,1671.2,1093.8
1.28000,15.000,8.6955,3061.43,22.891,1.1237,1665.2,1084.9
1.28000,15.000,8.6955,3061.43,22.891,1.1237,1665.2,1084.9
1.28000,16.000,9.2738,3067.28,22.904,1.1241,1666.1,1085.7
1.28000,16.000,9.2738,3067.28,22.904,1.1241,1666.1,1085.7
1.28000,17.000,9.8519,3072.76,22.917,1.1244,1666.9,1086.5
1.28000,17.000,9.8519,3072.76,22.917,1.1244,1666.9,1086.5
1.28000,18.000,10.430,3077.92,22.929,1.1248,1667.7,1087.2
1.28000,18.000,10.430,3077.92,22.929,1.1248,1667.7,1087.2
1.28000,19.000,11.008,3082.79,22.940,1.1251,1668.4,1087.9
1.28000,19.000,11.008,3082.79,22.940,1.1251,1668.4,1087.9
1.28000,20.000,11.586,3087.39,22.950,1.1254,1669.1,1088.5
1.28000,20.000,11.586,3087.39,22.950,1.1254,1669.1,1088.5
1.28000,21.000,12.164,3091.76,22.960,1.1257,1669.7,1089.1
1.28000,21.000,12.164,3091.76,22.960,1.1257,1669.7,1089.1
1.28000,22.000,12.741,3095.92,22.969,1.1260,1670.3,1089.7
1.28000,22.000,12.741,3095.92,22.969,1.1260,1670.3,1089.7
1.28000,23.000,13.319,3099.89,22.978,1.1262,1670.9,1090.3
1.28000,23.000,13.319,3099.89,22.978,1.1262,1670.9,1090.3
1.28000,24.000,13.897,3103.67,22.987,1.1265,1671.5,1090.8
1.28000,24.000,13.897,3103.67,22.987,1.1265,1671.5,1090.8
1.28000,25.000,14.474,3107.30,22.995,1.1267,1672.0,1091.3
1.28000,25.000,14.474,3107.30,22.995,1.1267,1672.0,1091.3
1.32000,15.000,8.7060,3078.87,23.104,1.1215,1663.7,1082.1
1.32000,15.000,8.7060,3078.87,23.104,1.1215,1663.7,1082.1
1.32000,16.000,9.2851,3085.01,23.118,1.1219,1664.6,1082.9
1.32000,16.000,9.2851,3085.01,23.118,1.1219,1664.6,1082.9
1.32000,17.000,9.8642,3090.76,23.131,1.1222,1665.5,1083.7
1.32000,17.000,9.8642,3090.76,23.131,1.1222,1665.5,1083.7
1.32000,18.000,10.443,3096.18,23.143,1.1225,1666.4,1084.4
1.32000,18.000,10.443,3096.18,23.143,1.1225,1666.4,1084.4
1.32000,19.000,11.022,3101.30,23.155,1.1228,1667.2,1085.1
1.32000,19.000,11.022,3101.30,23.155,1.1228,1667.2,1085.1
1.32000,20.000,11.601,3106.15,23.166,1.1230,1667.9,1085.8
1.32000,20.000,11.601,3106.15,23.166,1.1230,1667.9,1085.8
1.32000,21.000,12.180,3110.76,23.177,1.1233,1668.6,1086.4
1.32000,21.000,12.180,3110.76,23.177,1.1233,1668.6,1086.4
1.32000,22.000,12.758,3115.14,23.187,1.1235,1669.3,1087.0
1.32000,22.000,12.758,3115.14,23.187,1.1235,1669.3,1087.0
1.32000,23.000,13.337,3119.33,23.197,1.1238,1669.9,1087.6
1.32000,23.000,13.337,3119.33,23.197,1.1238,1669.9,1087.6
1.32000,24.000,13.916,3123.33,23.206,1.1240,1670.5,1088.1
1.32000,24.000,13.916,3123.33,23.206,1.1240,1670.5,1088.1
1.32000,25.000,14.494,3127.16,23.215,1.1242,1671.1,1088.6
1.32000,25.000,14.494,3127.16,23.215,1.1242,1671.1,1088.6
1.36000,15.000,8.7132,3091.95,23.303,1.1200,1661.1,1079.1
1.36000,15.000,8.7132,3091.95,23.303,1.1200,1661.1,1079.1
1.36000,16.000,9.2930,3098.29,23.318,1.1203,1662.1,1080.0
1.36000,16.000,9.2930,3098.29,23.318,1.1203,1662.1,1080.0
1.36000,17.000,9.8727,3104.25,23.331,1.1206,1663.0,1080.8
1.36000,17.000,9.8727,3104.25,23.331,1.1206,1663.0,1080.8
1.36000,18.000,10.452,3109.86,23.344,1.1209,1663.9,1081.5
1.36000,18.000,10.452,3109.86,23.344,1.1209,1663.9,1081.5
1.36000,19.000,11.032,3115.17,23.357,1.1211,1664.8,1082.2
1.36000,19.000,11.032,3115.17,23.357,1.1211,1664.8,1082.2
1.36000,20.000,11.611,3120.20,23.368,1.1214,1665.5,1082.9
1.36000,20.000,11.611,3120.20,23.368,1.1214,1665.5,1082.9
1.36000,21.000,12.191,3124.98,23.380,1.1216,1666.3,1083.5
1.36000,21.000,12.191,3124.98,23.380,1.1216,1666.3,1083.5
1.36000,22.000,12.770,3129.53,23.390,1.1218,1667.0,1084.1
1.36000,22.000,12.770,3129.53,23.390,1.1218,1667.0,1084.1
1.36000,23.000,13.350,3133.88,23.400,1.1221,1667.7,1084.7
1.36000,23.000,13.350,3133.88,23.400,1.1221,1667.7,1084.7
1.36000,24.000,13.929,3138.04,23.410,1.1223,1668.3,1085.2
1.36000,24.000,13.929,3138.04,23.410,1.1223,1668.3,1085.2
1.36000,25.000,14.508,3142.03,23.419,1.1225,1668.9,1085.7
1.36000,25.000,14.508,3142.03,23.419,1.1225,1668.9,1085.7
1.40000,15.000,8.7181,3101.56,23.491,1.1189,1657.7,1076.1
