O/F,P0 (BAR),P1 (BAR),T0 (K),M (1/n),GAMMA,CSTAR (M/SEC),ISP (M/SEC)
1.20000,10.000,5.7728,2935.04,22.465,1.1303,1641.0,1075.3
1.20000,12.000,6.9230,2948.28,22.494,1.1318,1642.8,1077.5
1.20000,14.000,8.0724,2959.29,22.519,1.1330,1644.2,1079.3
1.20000,16.000,9.2212,2968.67,22.539,1.1341,1645.4,1080.8
1.20000,18.000,10.370,2976.82,22.557,1.1351,1646.5,1082.1
1.20000,20.000,11.517,2984.01,22.573,1.1360,1647.4,1083.3
1.20000,22.000,12.665,2990.42,22.587,1.1368,1648.1,1084.4
1.20000,24.000,13.812,2996.21,22.600,1.1375,1648.8,1085.3
1.20000,26.000,14.958,3001.47,22.612,1.1382,1649.5,1086.2
1.20000,28.000,16.104,3006.29,22.623,1.1389,1650.0,1087.0
1.20000,30.000,17.250,3010.72,22.633,1.1395,1650.5,1087.7
1.25000,10.000,5.7907,2971.40,22.776,1.1248,1643.6,1072.4
1.25000,12.000,6.9452,2986.34,22.810,1.1260,1645.8,1074.6
1.25000,14.000,8.0990,2998.84,22.838,1.1270,1647.6,1076.5
1.25000,16.000,9.2523,3009.56,22.862,1.1279,1649.1,1078.1
1.25000,18.000,10.405,3018.94,22.883,1.1287,1650.4,1079.5
1.25000,20.000,11.558,3027.25,22.902,1.1295,1651.6,1080.8
1.25000,22.000,12.709,3034.70,22.919,1.1302,1652.6,1081.9
1.25000,24.000,13.861,3041.46,22.934,1.1308,1653.5,1083.0
1.25000,26.000,15.012,3047.62,22.948,1.1314,1654.4,1083.9
1.25000,28.000,16.163,3053.29,22.961,1.1319,1655.1,1084.8
1.25000,30.000,17.314,3058.53,22.973,1.1324,1655.8,1085.6
1.30000,10.000,5.8027,2997.29,23.059,1.1211,1643.0,1068.9
1.30000,12.000,6.9603,3013.47,23.096,1.1221,1645.6,1071.2
1.30000,14.000,8.1174,3027.06,23.128,1.1230,1647.7,1073.1
1.30000,16.000,9.2741,3038.78,23.154,1.1238,1649.4,1074.8
1.30000,18.000,10.430,3049.06,23.178,1.1244,1651.0,1076.2
1.30000,20.000,11.586,3058.21,23.199,1.1251,1652.3,1077.5
1.30000,22.000,12.742,3066.45,23.218,1.1256,1653.6,1078.7
1.30000,24.000,13.897,3073.93,23.236,1.1261,1654.7,1079.8
1.30000,26.000,15.052,3080.79,23.251,1.1266,1655.7,1080.8
1.30000,28.000,16.207,3087.10,23.266,1.1271,1656.6,1081.7
1.30000,30.000,17.361,3092.96,23.280,1.1275,1657.4,1082.5
1.35000,10.000,5.8104,3015.30,23.320,1.1187,1640.3,1065.1
1.35000,12.000,6.9700,3032.33,23.360,1.1196,1643.1,1067.5
1.35000,14.000,8.1292,3046.68,23.393,1.1204,1645.3,1069.4
1.35000,16.000,9.2881,3059.09,23.422,1.1210,1647.3,1071.1
1.35000,18.000,10.447,3070.00,23.448,1.1216,1649.0,1072.6
1.35000,20.000,11.605,3079.74,23.470,1.1222,1650.5,1073.9
1.35000,22.000,12.763,3088.52,23.491,1.1227,1651.8,1075.1
1.35000,24.000,13.921,3096.52,23.510,1.1231,1653.1,1076.2
1.35000,26.000,15.078,3103.86,23.527,1.1235,1654.2,1077.2
1.35000,28.000,16.235,3110.64,23.543,1.1239,1655.2,1078.1
1.35000,30.000,17.392,3116.93,23.558,1.1243,1656.1,1078.9
1.40000,10.000,5.8152,3027.42,23.562,1.1172,1636.2,1061.2
1.40000,12.000,6.9760,3045.01,23.604,1.1180,1639.0,1063.5
1.40000,14.000,8.1365,3059.87,23.639,1.1187,1641.4,1065.5
1.40000,16.000,9.2967,3072.73,23.669,1.1193,1643.5,1067.2
1.40000,18.000,10.457,3084.06,23.696,1.1198,1645.2,1068.7
1.40000,20.000,11.616,3094.18,23.720,1.1203,1646.8,1070.0
1.40000,22.000,12.776,3103.33,23.742,1.1208,1648.3,1071.2
1.40000,24.000,13.935,3111.67,23.762,1.1212,1649.6,1072.3
1.40000,26.000,15.094,3119.33,23.780,1.1216,1650.8,1073.3
1.40000,28.000,16.253,3126.41,23.797,1.1219,1651.8,1074.3
1.40000,30.000,17.412,3133.00,23.813,1.1222,1652.9,1075.1
1.45000,10.000,5.8180,3035.12,23.789,1.1162,1631.0,1057.1
1.45000,12.000,6.9796,3053.06,23.832,1.1170,1634.0,1059.5
1.45000,14.000,8.1409,3068.23,23.868,1.1176,1636.4,1061.5
1.45000,16.000,9.3019,3081.37,23.899,1.1182,1638.5,1063.2
1.45000,18.000,10.463,3092.96,23.927,1.1187,1640.4,1064.7
1.45000,20.000,11.623,3103.33,23.952,1.1192,1642.0,1066.0
1.45000,22.000,12.784,3112.70,23.975,1.1196,1643.5,1067.2
1.45000,24.000,13.944,3121.25,23.995,1.1200,1644.8,1068.3
1.45000,26.000,15.104,3129.11,24.014,1.1203,1646.0,1069.3
1.45000,28.000,16.264,3136.38,24.032,1.1207,1647.2,1070.2
1.45000,30.000,17.423,3143.15,24.048,1.1210,1648.2,1071.1
1.50000,10.000,5.8196,3039.47,24.003,1.1156,1625.3,1053.0
1.50000,12.000,6.9816,3057.60,24.046,1.1164,1628.2,1055.3
1.50000,14.000,8.1433,3072.94,24.083,1.1170,1630.7,1057.3
1.50000,16.000,9.3047,3086.24,24.116,1.1176,1632.8,1059.0
1.50000,18.000,10.466,3097.97,24.144,1.1181,1634.7,1060.5
1.50000,20.000,11.627,3108.47,24.169,1.1185,1636.4,1061.9
1.50000,22.000,12.788,3117.96,24.192,1.1189,1637.9,1063.1
1.50000,24.000,13.948,3126.63,24.214,1.1193,1639.2,1064.2
1.50000,26.000,15.109,3134.60,24.233,1.1196,1640.5,1065.2
1.50000,28.000,16.269,3141.98,24.251,1.1200,1641.6,1066.1
1.50000,30.000,17.430,3148.84,24.268,1.1203,1642.7,1067.0
1.55000,10.000,5.8204,3041.21,24.205,1.1153,1619.1,1048.8
1.55000,12.000,6.9826,3059.42,24.249,1.1161,1622.1,1051.1
1.55000,14.000,8.1445,3074.84,24.287,1.1167,1624.6,1053.1
1.55000,16.000,9.3061,3088.20,24.319,1.1173,1626.7,1054.8
1.55000,18.000,10.468,3099.99,24.348,1.1178,1628.6,1056.3
1.55000,20.000,11.629,3110.54,24.374,1.1182,1630.2,1057.6
1.55000,22.000,12.790,3120.09,24.397,1.1186,1631.7,1058.8
1.55000,24.000,13.951,3128.81,24.419,1.1190,1633.1,1059.9
1.55000,26.000,15.111,3136.82,24.438,1.1193,1634.4,1060.9
1.55000,28.000,16.272,3144.24,24.457,1.1196,1635.5,1061.9
