O/F,P0 (BAR),P1 (BAR),T0 (K),M (1/n),GAMMA,CSTAR (M/SEC),ISP (M/SEC)
3.90000,20.000,11.389,3027.84,24.748,1.1606,1571.0,1049.4
3.90000,22.500,12.805,3035.33,24.763,1.1620,1571.7,1050.8
3.90000,25.000,14.221,3041.91,24.777,1.1632,1572.3,1051.9
3.90000,27.500,15.636,3047.77,24.789,1.1643,1572.9,1053.0
3.90000,30.000,17.050,3053.04,24.799,1.1653,1573.4,1053.9
3.90000,32.500,18.464,3057.83,24.809,1.1662,1573.8,1054.8
3.90000,35.000,19.877,3062.19,24.818,1.1670,1574.2,1055.5
3.95000,20.000,11.402,3037.31,24.826,1.1586,1572.2,1048.7
3.95000,22.500,12.820,3045.07,24.842,1.1599,1573.0,1050.0
3.95000,25.000,14.237,3051.89,24.856,1.1610,1573.7,1051.2
3.95000,27.500,15.653,3057.98,24.869,1.1621,1574.3,1052.3
3.95000,30.000,17.069,3063.46,24.880,1.1630,1574.8,1053.3
3.95000,32.500,18.485,3068.44,24.890,1.1639,1575.3,1054.1
3.95000,35.000,19.900,3072.99,24.899,1.1648,1575.7,1055.0
4.00000,20.000,11.414,3046.03,24.902,1.1567,1573.3,1047.9
4.00000,22.500,12.834,3054.04,24.919,1.1579,1574.1,1049.2
4.00000,25.000,14.252,3061.10,24.933,1.1590,1574.9,1050.5
4.00000,27.500,15.671,3067.40,24.946,1.1600,1575.5,1051.6
4.00000,30.000,17.088,3073.08,24.958,1.1610,1576.1,1052.5
4.00000,32.500,18.505,3078.24,24.969,1.1619,1576.6,1053.4
4.00000,35.000,19.921,3082.97,24.978,1.1627,1577.0,1054.3
4.05000,20.000,11.426,3054.04,24.976,1.1549,1574.2,1047.0
4.05000,22.500,12.847,3062.28,24.993,1.1561,1575.1,1048.4
4.05000,25.000,14.267,3069.57,25.008,1.1572,1575.9,1049.6
4.05000,27.500,15.687,3076.07,25.021,1.1582,1576.6,1050.8
4.05000,30.000,17.106,3081.94,25.034,1.1591,1577.2,1051.8
4.05000,32.500,18.525,3087.28,25.045,1.1599,1577.7,1052.7
4.05000,35.000,19.943,3092.17,25.055,1.1607,1578.2,1053.5
4.10000,20.000,11.437,3061.36,25.047,1.1533,1574.9,1046.1
4.10000,22.500,12.859,3069.84,25.065,1.1544,1575.8,1047.5
4.10000,25.000,14.281,3077.33,25.081,1.1555,1576.7,1048.8
4.10000,27.500,15.703,3084.03,25.094,1.1564,1577.4,1049.9
4.10000,30.000,17.123,3090.07,25.107,1.1573,1578.1,1050.9
4.10000,32.500,18.544,3095.58,25.119,1.1581,1578.7,1051.9
4.10000,35.000,19.963,3100.63,25.129,1.1588,1579.2,1052.7
4.15000,20.000,11.447,3068.05,25.117,1.1518,1575.4,1045.2
4.15000,22.500,12.871,3076.74,25.135,1.1529,1576.4,1046.6
4.15000,25.000,14.295,3084.42,25.151,1.1539,1577.3,1047.9
4.15000,27.500,15.718,3091.30,25.165,1.1548,1578.1,1049.0
4.15000,30.000,17.140,3097.51,25.178,1.1556,1578.8,1050.0
4.15000,32.500,18.562,3103.18,25.190,1.1564,1579.4,1051.0
4.15000,35.000,19.983,3108.37,25.201,1.1571,1580.0,1051.8
4.20000,20.000,11.457,3074.14,25.184,1.1504,1575.8,1044.2
4.20000,22.500,12.883,3083.02,25.203,1.1515,1576.8,1045.6
4.20000,25.000,14.308,3090.89,25.220,1.1524,1577.8,1046.9
4.20000,27.500,15.732,3097.93,25.234,1.1533,1578.6,1048.1
4.20000,30.000,17.156,3104.30,25.248,1.1541,1579.4,1049.1
4.20000,32.500,18.579,3110.11,25.260,1.1549,1580.0,1050.1
4.20000,35.000,20.001,3115.45,25.271,1.1555,1580.7,1050.9
