O/F,P0 (BAR),P1 (BAR),T0 (K),M (1/n),GAMMA,CSTAR (M/SEC),ISP (M/SEC)
1.20000,10.000,5.7814,2976.74,22.348,1.1280,1658.7,1084.7
1.20000,11.000,6.3576,2984.35,22.364,1.1287,1659.8,1085.9
1.20000,12.000,6.9336,2991.25,22.380,1.1293,1660.7,1086.9
1.20000,13.000,7.5094,2997.55,22.393,1.1299,1661.6,1087.9
1.20000,14.000,8.0851,3003.35,22.406,1.1305,1662.4,1088.8
1.20000,15.000,8.6607,3008.71,22.418,1.1310,1663.2,1089.7
1.20000,16.000,9.2361,3013.70,22.429,1.1315,1663.9,1090.5
1.20000,17.000,9.8113,3018.36,22.439,1.1319,1664.5,1091.2
1.20000,18.000,10.386,3022.73,22.449,1.1324,1665.1,1091.9
1.20000,19.000,10.962,3026.84,22.458,1.1328,1665.6,1092.5
1.20000,20.000,11.536,3030.72,22.466,1.1332,1666.1,1093.1
1.20000,21.000,12.111,3034.39,22.475,1.1336,1666.6,1093.7
1.20000,22.000,12.686,3037.87,22.482,1.1339,1667.1,1094.3
1.20000,23.000,13.261,3041.18,22.490,1.1343,1667.5,1094.8
1.20000,24.000,13.835,3044.33,22.496,1.1346,1667.9,1095.3
1.20000,25.000,14.410,3047.34,22.503,1.1349,1668.3,1095.8
1.20000,26.000,14.984,3050.22,22.510,1.1352,1668.7,1096.2
1.20000,27.000,15.558,3052.98,22.516,1.1355,1669.0,1096.6
1.20000,28.000,16.132,3055.62,22.521,1.1358,1669.3,1097.1
1.20000,29.000,16.706,3058.17,22.527,1.1361,1669.7,1097.5
1.20000,30.000,17.281,3060.61,22.533,1.1364,1670.0,1097.8
1.24000,10.000,5.7936,3003.68,22.586,1.1242,1660.0,1082.3
1.24000,11.000,6.3714,3011.93,22.604,1.1248,1661.2,1083.5
1.24000,12.000,6.9489,3019.43,22.621,1.1253,1662.3,1084.6
1.24000,13.000,7.5263,3026.30,22.636,1.1258,1663.3,1085.6
1.24000,14.000,8.1036,3032.63,22.650,1.1263,1664.3,1086.6
1.24000,15.000,8.6807,3038.50,22.663,1.1268,1665.1,1087.4
1.24000,16.000,9.2578,3043.97,22.676,1.1272,1665.9,1088.3
1.24000,17.000,9.8347,3049.09,22.687,1.1276,1666.7,1089.0
1.24000,18.000,10.411,3053.90,22.698,1.1280,1667.4,1089.7
1.24000,19.000,10.988,3058.44,22.708,1.1283,1668.0,1090.4
1.24000,20.000,11.565,3062.72,22.718,1.1287,1668.6,1091.0
1.24000,21.000,12.141,3066.78,22.727,1.1290,1669.2,1091.6
1.24000,22.000,12.718,3070.64,22.735,1.1293,1669.8,1092.2
1.24000,23.000,13.294,3074.32,22.744,1.1296,1670.3,1092.8
1.24000,24.000,13.870,3077.82,22.752,1.1299,1670.8,1093.3
1.24000,25.000,14.446,3081.18,22.759,1.1302,1671.2,1093.8
1.24000,26.000,15.022,3084.39,22.766,1.1305,1671.7,1094.3
1.24000,27.000,15.598,3087.47,22.773,1.1307,1672.1,1094.7
1.24000,28.000,16.174,3090.43,22.780,1.1310,1672.5,1095.2
1.24000,29.000,16.750,3093.28,22.786,1.1312,1672.9,1095.6
1.24000,30.000,17.326,3096.02,22.792,1.1315,1673.3,1096.0
1.28000,10.000,5.8025,3024.39,22.807,1.1214,1659.4,1079.6
1.28000,11.000,6.3814,3033.14,22.827,1.1220,1660.8,1080.9
1.28000,12.000,6.9601,3041.11,22.845,1.1225,1662.0,1082.0
1.28000,13.000,7.5387,3048.41,22.862,1.1229,1663.2,1083.0
1.28000,14.000,8.1172,3055.16,22.877,1.1233,1664.2,1084.0
1.28000,15.000,8.6955,3061.43,22.891,1.1237,1665.2,1084.9
1.28000,16.000,9.2738,3067.28,22.904,1.1241,1666.1,1085.7
1.28000,17.000,9.8519,3072.76,22.917,1.1244,1666.9,1086.5
