O/F,P0 (BAR),P1 (BAR),T0 (K),M (1/n),GAMMA,CSTAR (M/SEC),ISP (M/SEC)
3.90000,12.000,6.8505,2993.93,24.678,1.1551,1567.5,1043.4
3.90000,13.000,7.4185,2999.39,24.689,1.1559,1568.0,1044.4
3.90000,14.000,7.9862,3004.40,24.700,1.1567,1568.6,1045.3
3.90000,15.000,8.5538,3009.02,24.709,1.1575,1569.1,1046.1
3.90000,16.000,9.1212,3013.31,24.718,1.1582,1569.5,1046.9
3.90000,17.000,9.6884,3017.30,24.726,1.1588,1569.9,1047.6
3.90000,18.000,10.255,3021.04,24.734,1.1595,1570.3,1048.2
3.90000,19.000,10.822,3024.54,24.741,1.1601,1570.7,1048.8
3.90000,20.000,11.389,3027.84,24.748,1.1606,1571.0,1049.4
3.90000,21.000,11.956,3030.96,24.754,1.1612,1571.3,1050.0
3.90000,22.000,12.522,3033.91,24.760,1.1617,1571.6,1050.5
3.95000,12.000,6.8577,3002.30,24.754,1.1532,1568.4,1042.6
3.95000,13.000,7.4264,3007.93,24.766,1.1540,1569.1,1043.6
3.95000,14.000,7.9949,3013.09,24.776,1.1548,1569.6,1044.4
3.95000,15.000,8.5631,3017.86,24.786,1.1555,1570.2,1045.3
3.95000,16.000,9.1312,3022.29,24.795,1.1562,1570.6,1046.0
3.95000,17.000,9.6990,3026.41,24.804,1.1568,1571.1,1046.8
3.95000,18.000,10.267,3030.27,24.812,1.1575,1571.5,1047.4
3.95000,19.000,10.834,3033.90,24.819,1.1580,1571.9,1048.1
3.95000,20.000,11.402,3037.31,24.826,1.1586,1572.2,1048.7
3.95000,21.000,11.969,3040.54,24.833,1.1591,1572.6,1049.2
3.95000,22.000,12.536,3043.60,24.839,1.1596,1572.9,1049.8
4.00000,12.000,6.8646,3009.98,24.828,1.1515,1569.2,1041.7
4.00000,13.000,7.4340,3015.76,24.839,1.1523,1569.9,1042.7
4.00000,14.000,8.0031,3021.08,24.850,1.1530,1570.5,1043.6
4.00000,15.000,8.5720,3025.98,24.861,1.1537,1571.1,1044.4
4.00000,16.000,9.1407,3030.54,24.870,1.1544,1571.6,1045.2
4.00000,17.000,9.7092,3034.79,24.879,1.1550,1572.1,1045.9
4.00000,18.000,10.278,3038.77,24.887,1.1556,1572.5,1046.6
4.00000,19.000,10.846,3042.51,24.895,1.1561,1572.9,1047.3
4.00000,20.000,11.414,3046.03,24.902,1.1567,1573.3,1047.9
4.00000,21.000,11.982,3049.36,24.909,1.1572,1573.6,1048.4
4.00000,22.000,12.550,3052.52,24.915,1.1577,1574.0,1049.0
4.05000,12.000,6.8711,3017.01,24.899,1.1499,1569.8,1040.7
4.05000,13.000,7.4411,3022.94,24.911,1.1507,1570.5,1041.7
4.05000,14.000,8.0108,3028.39,24.923,1.1514,1571.2,1042.7
4.05000,15.000,8.5804,3033.42,24.933,1.1521,1571.8,1043.5
4.05000,16.000,9.1497,3038.10,24.943,1.1527,1572.3,1044.3
4.05000,17.000,9.7189,3042.47,24.952,1.1533,1572.8,1045.0
4.05000,18.000,10.288,3046.56,24.960,1.1539,1573.3,1045.7
4.05000,19.000,10.857,3050.41,24.968,1.1544,1573.8,1046.4
4.05000,20.000,11.426,3054.04,24.976,1.1549,1574.2,1047.0
4.05000,21.000,11.994,3057.47,24.983,1.1554,1574.5,1047.6
