# Simulation 10 (Up to date)
# 917 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Propellant mass (g),Mach number (?),Thrust (N),Drag force (N),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-5.4713,40332,5159.2,0.0054117,174.27,0,0.62775
0.01,0,0,3.1705,40332,5159.2,0.0054776,522.81,0,0.62652
0.02,1.5856e-4,0.031715,11.814,40328,5155.5,0.0055442,871.34,3.4047e-7,0.6253
0.03,0.0010665,0.14987,20.459,40324,5151.9,0.0056266,1219.9,3.4129e-5,0.62381
0.04,0.0035883,0.35449,24.927,40321,5148.2,0.00577,1399.9,4.1623e-4,0.62129
0.05,0.0083797,0.6038,25.218,40315,5142.7,0.0060089,1411.4,0.0018618,0.61726
0.06,0.015679,0.85603,25.51,40308,5135.2,0.0062115,1423,0.0048802,0.61401
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.025515,1.1112,25.802,40300,5127.8,0.0064978,1434.5,0.0097646,0.60965
0.08,0.037917,1.3693,25.586,40293,5120.3,0.00686,1425.5,0.016648,0.60448
0.09,0.052889,1.6252,24.86,40286,5113,0.0072797,1396,0.025348,0.59892
0.1,0.070384,1.8738,24.134,40278,5105.8,0.0077351,1366.5,0.035472,0.59334
0.11,0.090329,2.1152,23.408,40271,5098.5,0.0083067,1337,0.046305,0.58693
0.12,0.11265,2.3493,23.068,40264,5091.3,0.0088823,1323.1,0.057983,0.58103
0.13,0.1373,2.5801,23.114,40257,5084.2,0.0094655,1324.8,0.070556,0.57555
0.14,0.16425,2.8112,23.16,40250,5077.2,0.010062,1326.4,0.084159,0.57037
0.15,0.19353,3.0429,23.207,40243,5070.3,0.010671,1328.1,0.098751,0.56549
0.16,0.22512,3.275,23.269,40236,5063.3,0.011262,1330.4,0.11444,0.56109
0.17,0.25903,3.5077,23.348,40229,5056.3,0.011864,1333.3,0.13102,0.5569
0.18,0.29527,3.7413,23.428,40222,5049.3,0.012477,1336.3,0.14848,0.55292
0.19,0.33386,3.9756,23.507,40215,5042.3,0.013099,1339.3,0.16677,0.54912
0.2,0.37479,4.2107,23.573,40208,5035.3,0.01373,1341.7,0.18587,0.5455
0.21,0.41808,4.4465,23.625,40201,5028.2,0.014348,1343.6,0.20574,0.54217
0.22,0.46372,4.6828,23.678,40194,5021,0.014973,1345.5,0.22627,0.53897
0.23,0.51173,4.9196,23.731,40186,5013.8,0.015607,1347.4,0.24742,0.53591
0.24,0.56212,5.157,23.784,40179,5006.5,0.016246,1349.3,0.26918,0.53297
0.25,0.61488,5.3949,23.837,40172,4999.3,0.016892,1351.2,0.29152,0.53016
0.26,0.67002,5.6333,23.89,40165,4992.1,0.017561,1353.1,0.31473,0.52738
0.27,0.72754,5.8722,23.943,40157,4984.9,0.018233,1355,0.33862,0.52473
0.28,0.78746,6.1117,23.996,40150,4977.7,0.018909,1356.9,0.36319,0.52219
0.29,0.84978,6.3517,24.048,40143,4970.4,0.019589,1358.9,0.38842,0.51974
0.3,0.9145,6.5922,24.101,40136,4963.2,0.020272,1360.8,0.41431,0.5174
0.31,0.98163,6.8333,24.154,40129,4956,0.020935,1362.7,0.43974,0.51521
0.32,1.0512,7.0749,24.207,40121,4948.8,0.021603,1364.6,0.46513,0.5131
0.33,1.1231,7.317,24.26,40114,4941.6,0.022275,1366.5,0.49056,0.51106
0.34,1.1975,7.5597,24.313,40107,4934.3,0.022951,1368.4,0.51607,0.50909
0.35,1.2743,7.8028,24.366,40100,4927.1,0.023631,1370.3,0.54175,0.50718
0.36,1.3536,8.0465,24.419,40092,4919.9,0.024317,1372.2,0.56795,0.50532
0.37,1.4353,8.2908,24.472,40085,4912.7,0.025007,1374.1,0.59446,0.50352
0.38,1.5194,8.5356,24.525,40078,4905.5,0.025699,1376,0.62133,0.50178
0.39,1.606,8.7809,24.578,40071,4898.3,0.026394,1377.9,0.64857,0.50008
0.4,1.695,9.0267,24.631,40064,4891,0.027093,1379.8,0.67624,0.49844
0.41,1.7865,9.273,24.684,40056,4883.8,0.027803,1381.7,0.70599,0.49683
0.42,1.8805,9.5199,24.737,40049,4876.6,0.028515,1383.6,0.73632,0.49526
0.43,1.9769,9.7674,24.79,40042,4869.4,0.02923,1385.5,0.76725,0.49373
0.44,2.0758,10.015,24.843,40035,4862.2,0.029946,1387.4,0.7988,0.49225
0.45,2.1772,10.264,24.896,40027,4854.9,0.030665,1389.3,0.83097,0.49081
0.46,2.2811,10.513,24.949,40020,4847.7,0.031395,1391.2,0.86601,0.48939
0.47,2.3875,10.762,25.002,40013,4840.5,0.032127,1393.1,0.9018,0.48801
0.48,2.4963,11.012,25.055,40006,4833.3,0.032861,1395,0.93834,0.48667
0.49,2.6077,11.263,25.108,39999,4826.1,0.033596,1396.9,0.97563,0.48536
0.5,2.7216,11.514,25.161,39991,4818.8,0.034333,1398.9,1.0137,0.48408
0.51,2.838,11.766,25.214,39984,4811.6,0.035044,1400.8,1.0447,0.48288
0.52,2.9569,12.018,25.268,39977,4804.4,0.035759,1402.7,1.0763,0.48171
# Event LAUNCHROD occurred at t=0.53 seconds
0.53,3.0784,12.271,25.321,39970,4797.2,0.036476,1405,1.1084,0.48056
0.545,3.2653,12.651,25.411,39961,4788.2,0.037556,1408.6,1.161,0.48044
0.5675,3.5564,13.223,25.509,39947,4774.6,0.039219,1411.6,1.2553,0.48046
0.60125,4.0172,14.085,25.549,39927,4754,0.041738,1412.7,1.4092,0.48048
0.65125,4.7534,15.363,25.608,39895,4722.9,0.045443,1413.9,1.6371,0.48052
0.70125,5.5536,16.645,25.666,39858,4685.8,0.049193,1415.2,1.8978,0.48056
0.75125,6.4179,17.929,25.724,39821,4648.6,0.052964,1416.5,2.1848,0.4806
0.80125,7.3466,19.217,25.782,39784,4611.5,0.056723,1417.7,2.4778,0.48065
0.85125,8.3396,20.507,25.839,39747,4574.3,0.060513,1419,2.803,0.4807
0.90125,9.3973,21.8,25.895,39710,4537.2,0.064301,1420.3,3.1402,0.48076
0.95125,10.52,23.096,25.926,39673,4500,0.068102,1420.5,3.4984,0.48082
1.0013,11.707,24.393,25.932,39635,4462.8,0.071929,1419.9,3.892,0.48088
1.0513,12.959,25.691,25.938,39598,4425.6,0.075717,1419.2,4.2709,0.48095
1.1013,14.276,26.989,25.943,39561,4388.4,0.079536,1418.5,4.6914,0.48101
1.1513,15.658,28.287,25.947,39524,4351.2,0.083323,1417.9,5.1027,0.48109
1.2013,17.105,29.586,25.95,39487,4314,0.087132,1417.2,5.551,0.48116
1.2513,18.617,30.884,25.95,39449,4276.8,0.090988,1416.6,6.0543,0.48124
1.3013,20.193,32.183,25.945,39412,4239.6,0.094815,1415.7,6.5534,0.48133
1.3513,21.835,33.481,25.922,39375,4202.4,0.098619,1414.3,7.0552,0.48141
1.4013,23.541,34.778,25.895,39338,4165.4,0.10248,1412.7,7.6145,0.4815
1.4513,25.313,36.073,25.865,39301,4128.4,0.10628,1411.2,8.1611,0.48159
1.5013,27.149,37.367,25.832,39264,4091.4,0.11008,1409.6,8.7374,0.48169
1.5513,29.049,38.66,25.797,39227,4054.4,0.11389,1408.1,9.3416,0.48179
1.6013,31.015,39.95,25.759,39190,4017.4,0.1177,1406.6,9.971,0.48189
1.6513,33.044,41.239,25.72,39153,3980.4,0.12154,1405,10.632,0.482
1.7013,35.138,42.525,25.658,39116,3943.5,0.12534,1402.7,11.312,0.48211
1.7513,37.297,43.809,25.585,39079,3906.7,0.12915,1400,12.016,0.48222
1.8013,39.519,45.088,25.512,39043,3870.1,0.13297,1397.4,12.741,0.48234
1.8513,41.805,46.364,25.434,39006,3833.6,0.13675,1394.7,13.492,0.48246
1.9013,44.155,47.636,25.353,38970,3797,0.14048,1392.1,14.276,0.48258
1.9513,46.569,48.904,25.277,38933,3760.4,0.14427,1389.4,15.062,0.4827
2.0013,49.046,50.168,25.2,38896,3723.8,0.14803,1386.8,15.874,0.48283
2.0513,51.586,51.428,25.125,38860,3687.2,0.15174,1384.3,16.72,0.48296
2.1013,54.188,52.685,25.075,38823,3650.8,0.1555,1382.4,17.549,0.4831
2.1513,56.854,53.939,25.026,38787,3614.6,0.15923,1380.6,18.407,0.48323
2.2013,59.582,55.191,24.982,38751,3578.4,0.16296,1378.7,19.275,0.48337
2.2513,62.373,56.441,24.943,38715,3542.3,0.16668,1376.9,20.151,0.48352
2.3013,65.226,57.689,24.91,38679,3506.1,0.17042,1375.1,21.033,0.48366
2.3513,68.142,58.936,24.879,38643,3470,0.17411,1373.3,21.937,0.48381
2.4012,71.12,60.18,24.851,38606,3433.9,0.17779,1371.4,22.857,0.48396
2.4512,74.16,61.424,24.827,38570,3397.8,0.18154,1369.4,23.774,0.48412
2.5012,77.262,62.667,24.795,38534,3361.9,0.18521,1367.1,24.724,0.48428
2.5512,80.427,63.908,24.765,38499,3326.1,0.18888,1364.9,25.692,0.48444
2.6012,83.653,65.147,24.737,38463,3290.4,0.19255,1362.7,26.682,0.4846
2.6512,86.941,66.385,24.709,38427,3254.6,0.19623,1360.5,27.701,0.48477
2.7012,90.292,67.622,24.682,38391,3218.9,0.19994,1358.3,28.767,0.48494
2.7512,93.704,68.857,24.65,38356,3183.1,0.20362,1356.1,29.858,0.48511
2.8012,97.177,70.091,24.6,38320,3147.4,0.20728,1353.4,30.968,0.48529
2.8512,100.71,71.322,24.496,38284,3111.9,0.21092,1348.8,32.084,0.48546
2.9012,104.31,72.548,24.383,38249,3076.7,0.21455,1344,33.222,0.48564
2.9512,107.97,73.768,24.265,38214,3041.6,0.21817,1339.1,34.369,0.48583
3.0012,111.69,74.981,24.14,38179,3006.6,0.22172,1334.3,35.466,0.48601
3.0512,115.47,76.189,24.014,38144,2971.5,0.22533,1329.5,36.632,0.4862
3.1012,119.3,77.39,23.884,38109,2936.4,0.22891,1324.7,37.792,0.48639
3.1512,123.2,78.584,23.752,38074,2901.4,0.23247,1320,38.949,0.48658
3.2012,127.16,79.772,23.719,38039,2866.4,0.23601,1319.3,40.108,0.48677
3.2512,131.18,80.958,23.725,38004,2831.5,0.23954,1320.4,41.275,0.48697
3.3012,135.26,82.144,23.727,37969,2796.8,0.24307,1321.5,42.478,0.48717
3.3512,139.4,83.33,23.72,37935,2762.1,0.24657,1322.6,43.701,0.48737
3.4012,143.59,84.516,23.716,37900,2727.4,0.25013,1323.7,44.982,0.48757
3.4512,147.85,85.701,23.71,37865,2692.7,0.25367,1324.8,46.289,0.48778
3.5012,152.16,86.887,23.71,37831,2658,0.25725,1325.9,47.62,0.48799
3.5512,156.54,88.072,23.717,37796,2623.3,0.26083,1327,48.964,0.48821
3.6012,160.97,89.258,23.737,37761,2588.6,0.26439,1328.6,50.319,0.48843
3.6512,165.46,90.445,23.759,37726,2553.7,0.26789,1330.1,51.686,0.48865
3.7012,170.01,91.633,23.799,37691,2518.7,0.27145,1331.7,53.048,0.48887
3.7512,174.63,92.824,23.852,37656,2483.7,0.27504,1333.3,54.416,0.4891
3.8012,179.3,94.017,23.909,37621,2448.8,0.2786,1334.8,55.798,0.48933
3.8512,184.03,95.214,23.98,37586,2413.8,0.28224,1336.4,57.221,0.48957
3.9012,188.82,96.414,24.032,37551,2378.9,0.28582,1337.6,58.666,0.4898
